lastUpdated,title,url
" This page was last edited on 31 July 2021, at 22:55",Kevin Bacon,https://en.wikipedia.org/wiki/Kevin_Bacon
" This page was last edited on 5 August 2021, at 08:46",Kyra Sedgwick,https://en.wikipedia.org/wiki/Kyra_Sedgwick
" This page was last edited on 15 July 2021, at 17:53",Holly Near,https://en.wikipedia.org/wiki/Holly_Near
" This page was last edited on 4 August 2021, at 18:56",A Few Good Men,https://en.wikipedia.org/wiki/A_Few_Good_Men
" This page was last edited on 7 July 2021, at 04:13",Michael Bacon (musician),https://en.wikipedia.org/wiki/Michael_Bacon_(musician)
" This page was last edited on 28 July 2021, at 01:08", (1984 film),https://en.wikipedia.org/wiki/Footloose_(1984_film)
" This page was last edited on 22 April 2021, at 03:12",Edmund Bacon (architect),https://en.wikipedia.org/wiki/Edmund_Bacon_(architect)
" This page was last edited on 17 July 2021, at 23:46",Sosie Bacon,https://en.wikipedia.org/wiki/Sosie_Bacon
" This page was last edited on 11 April 2020, at 17:44",Kevin Bacon (disambiguation),https://en.wikipedia.org/wiki/Kevin_Bacon_(disambiguation)
" This page was last edited on 13 August 2021, at 18:06", (film),https://en.wikipedia.org/wiki/JFK_(film)
" This page was last edited on 15 August 2021, at 16:43",Philadelphia,"https://en.wikipedia.org/wiki/Philadelphia,_Pennsylvania"
" This page was last edited on 4 August 2021, at 13:29",Golden Globe Award for Best Actor – Television Series Musical or Comedy,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Actor_%E2%80%93_Television_Series_Musical_or_Comedy
" This page was last edited on 9 August 2021, at 01:00",Academy Awards,https://en.wikipedia.org/wiki/Academy_Award
" This page was last edited on 16 August 2021, at 20:47",Streaming television,https://en.wikipedia.org/wiki/Streaming_television
" This page was last edited on 14 August 2021, at 22:05",The Guardian,https://en.wikipedia.org/wiki/The_Guardian
" This page was last edited on 4 July 2021, at 04:13",Trove,https://en.wikipedia.org/wiki/Trove_(identifier)
" This page was last edited on 3 February 2021, at 11:11",Main Page,https://en.wikipedia.org/wiki/Main_Page
" This page was last edited on 25 June 2021, at 23:11", (TV series),https://en.wikipedia.org/wiki/I_Love_Dick_(TV_series)
" This page was last edited on 10 August 2021, at 02:07",Julia Roberts,https://en.wikipedia.org/wiki/Julia_Roberts
" This page was last edited on 30 July 2021, at 14:39",Opposition to United States involvement in the Vietnam War,https://en.wikipedia.org/wiki/Opposition_to_the_Vietnam_War
" This page was last edited on 16 August 2021, at 03:16",Evan Rachel Wood,https://en.wikipedia.org/wiki/Evan_Rachel_Wood
" This page was last edited on 14 August 2021, at 07:23",Rotten Tomatoes,https://en.wikipedia.org/wiki/Rotten_Tomatoes
" This page was last edited on 25 June 2021, at 17:21",David Iglesias (attorney),https://en.wikipedia.org/wiki/David_Iglesias_(attorney)
" This page was last edited on 16 August 2021, at 02:44",Academy Award for Best Picture,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture
" This page was last edited on 25 July 2021, at 20:30",Hurricane Maria,https://en.wikipedia.org/wiki/Hurricane_Maria
" This page was last edited on 24 July 2021, at 18:02",Chicago Sun-Times,https://en.wikipedia.org/wiki/Chicago_Sun-Times
" This page was last edited on 26 February 2021, at 20:12",GALA Choruses,https://en.wikipedia.org/wiki/GALA_Choruses
" This page was last edited on 14 July 2021, at 19:13",The Albuquerque Tribune,https://en.wikipedia.org/wiki/The_Albuquerque_Tribune
" This page was last edited on 9 August 2021, at 04:09",The Baltimore Sun,https://en.wikipedia.org/wiki/The_Baltimore_Sun
" This page was last edited on 10 August 2021, at 19:08",Connecticut,https://en.wikipedia.org/wiki/Connecticut
" This page was last edited on 15 August 2021, at 19:50",England,https://en.wikipedia.org/wiki/England
" This page was last edited on 15 March 2021, at 18:02",Box Office Mojo,https://en.wikipedia.org/wiki/Box_Office_Mojo
" This page was last edited on 13 June 2021, at 11:09",International Standard Serial Number,https://en.wikipedia.org/wiki/ISSN_(identifier)
" This page was last edited on 10 August 2021, at 03:11", (film),https://en.wikipedia.org/wiki/Stand_by_Me_(film)
" This page was last edited on 25 April 2021, at 08:15",The Sure Thing,https://en.wikipedia.org/wiki/The_Sure_Thing
" This page was last edited on 6 May 2021, at 23:16",Trial film,https://en.wikipedia.org/wiki/Trial_movies
" This page was last edited on 17 August 2021, at 02:07", (film),https://en.wikipedia.org/wiki/The_Princess_Bride_(film)
" This page was last edited on 15 August 2021, at 02:31",All-news radio,https://en.wikipedia.org/wiki/All-news_radio
" This page was last edited on 4 August 2021, at 19:26",Album-oriented rock,https://en.wikipedia.org/wiki/Album-oriented_rock
" This page was last edited on 7 May 2021, at 21:28",WXTU,https://en.wikipedia.org/wiki/WXTU
" This page was last edited on 7 June 2021, at 12:24",WOGL,https://en.wikipedia.org/wiki/WOGL
" This page was last edited on 12 June 2021, at 15:19",WDAS-FM,https://en.wikipedia.org/wiki/WDAS-FM
" This page was last edited on 18 June 2021, at 21:50",WHYY-FM,https://en.wikipedia.org/wiki/WHYY-FM
" This page was last edited on 4 June 2021, at 10:06",WMMR,https://en.wikipedia.org/wiki/WMMR
" This page was last edited on 27 May 2021, at 21:26",WRNB,https://en.wikipedia.org/wiki/WRNB
" This page was last edited on 13 August 2021, at 23:29",KYW (AM),https://en.wikipedia.org/wiki/KYW_(AM)
" This page was last edited on 25 June 2021, at 02:45",Urban adult contemporary,https://en.wikipedia.org/wiki/Urban_adult_contemporary
" This page was last edited on 11 August 2021, at 03:45", (2008 American film),https://en.wikipedia.org/wiki/Milk_(2008_American_film)
" This page was last edited on 22 April 2021, at 07:26",Ceán Chaffin,https://en.wikipedia.org/wiki/Ce%C3%A1n_Chaffin
" This page was last edited on 7 August 2021, at 17:49",Classic hits,https://en.wikipedia.org/wiki/Classic_hits
" This page was last edited on 27 May 2021, at 21:40",WMGK,https://en.wikipedia.org/wiki/WMGK
" This page was last edited on 6 May 2021, at 01:37",Christian Colson,https://en.wikipedia.org/wiki/Christian_Colson
" This page was last edited on 18 July 2021, at 18:06",Classic rock,https://en.wikipedia.org/wiki/Classic_rock
" This page was last edited on 8 August 2021, at 05:10",BoltBus,https://en.wikipedia.org/wiki/BoltBus
" This page was last edited on 15 August 2021, at 01:00",Greyhound Lines,https://en.wikipedia.org/wiki/Greyhound_Lines
" This page was last edited on 4 August 2021, at 14:36",Service mark,https://en.wikipedia.org/wiki/Service_mark
" This page was last edited on 6 March 2021, at 23:23",Charles Rappleye,https://en.wikipedia.org/wiki/Charles_Rappleye
" This page was last edited on 13 August 2021, at 08:10",Contemporary hit radio,https://en.wikipedia.org/wiki/Contemporary_hit_radio
" This page was last edited on 8 August 2021, at 23:37",U2,https://en.wikipedia.org/wiki/U2
" This page was last edited on 10 June 2021, at 10:08",WKVB (FM),https://en.wikipedia.org/wiki/WKVB_(FM)
" This page was last edited on 13 August 2021, at 05:24",Mosul,https://en.wikipedia.org/wiki/Mosul
" This page was last edited on 8 August 2021, at 02:52","State College, Pennsylvania","https://en.wikipedia.org/wiki/State_College,_Pennsylvania"
" This page was last edited on 15 August 2021, at 03:02",Wyoming Valley,https://en.wikipedia.org/wiki/Wyoming_Valley
" This page was last edited on 19 July 2021, at 18:52",Baltimore–Washington metropolitan area,https://en.wikipedia.org/wiki/Baltimore%E2%80%93Washington_metropolitan_area
" This page was last edited on 3 August 2021, at 23:19",XEG-AM,https://en.wikipedia.org/wiki/XEG-AM
" This page was last edited on 14 August 2021, at 12:44",Greater Pittsburgh Region,https://en.wikipedia.org/wiki/Greater_Pittsburgh_Region
" This page was last edited on 8 August 2021, at 03:31","Lebanon, Pennsylvania","https://en.wikipedia.org/wiki/Lebanon,_Pennsylvania"
" This page was last edited on 3 March 2021, at 07:19","Harrisburg–York–Lebanon, PA Combined Statistical Area","https://en.wikipedia.org/wiki/Harrisburg%E2%80%93York%E2%80%93Lebanon,_PA_Combined_Statistical_Area"
" This page was last edited on 10 May 2021, at 19:19",WWVA (AM),https://en.wikipedia.org/wiki/WWVA_(AM)
" This page was last edited on 14 March 2021, at 07:45",XEB-AM,https://en.wikipedia.org/wiki/XEB-AM
" This page was last edited on 1 July 2021, at 02:26",WSM (AM),https://en.wikipedia.org/wiki/WSM_(AM)
" This page was last edited on 10 August 2021, at 01:25",WSB (AM),https://en.wikipedia.org/wiki/WSB_(AM)
" This page was last edited on 11 August 2021, at 19:45","Johnstown, Pennsylvania","https://en.wikipedia.org/wiki/Johnstown,_Pennsylvania"
" This page was last edited on 20 July 2021, at 13:49",WOAI (AM),https://en.wikipedia.org/wiki/WOAI_(AM)
" This page was last edited on 6 June 2021, at 19:21",WLW,https://en.wikipedia.org/wiki/WLW
" This page was last edited on 11 August 2021, at 23:02",WMVP,https://en.wikipedia.org/wiki/WMVP
" This page was last edited on 28 June 2021, at 23:49",WOR (AM),https://en.wikipedia.org/wiki/WOR_(AM)
" This page was last edited on 31 January 2021, at 09:27",WLXA,https://en.wikipedia.org/wiki/WLXA
" This page was last edited on 18 April 2021, at 12:30",WLNT-LP,https://en.wikipedia.org/wiki/WLNT-LP
" This page was last edited on 3 August 2021, at 12:36",WLLX,https://en.wikipedia.org/wiki/WLLX
" This page was last edited on 30 May 2021, at 15:01",WLOD (AM),https://en.wikipedia.org/wiki/WLOD_(AM)
" This page was last edited on 4 April 2021, at 18:08",WLNQ,https://en.wikipedia.org/wiki/WLNQ
" This page was last edited on 30 July 2021, at 17:23",WLIV-FM,https://en.wikipedia.org/wiki/WLIV-FM
" This page was last edited on 30 January 2021, at 15:34",WLIL,https://en.wikipedia.org/wiki/WLIL
" This page was last edited on 27 July 2021, at 13:00",WLIV (AM),https://en.wikipedia.org/wiki/WLIV_(AM)
" This page was last edited on 23 May 2021, at 18:01",WLAR,https://en.wikipedia.org/wiki/WLAR
" This page was last edited on 30 July 2021, at 17:24",WKXD-FM,https://en.wikipedia.org/wiki/WKXD-FM
" This page was last edited on 31 January 2021, at 11:39",WLCT,https://en.wikipedia.org/wiki/WLCT
" This page was last edited on 31 January 2021, at 08:14",WKJQ-FM,https://en.wikipedia.org/wiki/WKJQ-FM
" This page was last edited on 13 August 2020, at 05:56",WKOS,https://en.wikipedia.org/wiki/WKOS
" This page was last edited on 13 August 2020, at 13:12",WKWX,https://en.wikipedia.org/wiki/WKWX
" This page was last edited on 30 July 2021, at 20:14",WKBQ,https://en.wikipedia.org/wiki/WKBQ
" This page was last edited on 31 January 2021, at 15:46",WJSQ,https://en.wikipedia.org/wiki/WJSQ
" This page was last edited on 19 April 2021, at 14:06",Artrell Hawkins,https://en.wikipedia.org/wiki/Artrell_Hawkins
" This page was last edited on 5 August 2021, at 17:14",CMT Europe,https://en.wikipedia.org/wiki/CMT_Europe
" This page was last edited on 13 August 2020, at 14:26",WWLX,https://en.wikipedia.org/wiki/WWLX
" This page was last edited on 7 December 2020, at 00:41",Carlton Haselrig,https://en.wikipedia.org/wiki/Carlton_Haselrig
" This page was last edited on 15 February 2021, at 05:14","Loretto, Tennessee","https://en.wikipedia.org/wiki/Loretto,_Tennessee"
" This page was last edited on 30 October 2020, at 00:19",WKSR (AM),https://en.wikipedia.org/wiki/WKSR_(AM)
" This page was last edited on 25 August 2020, at 11:26","South Philipsburg, Pennsylvania","https://en.wikipedia.org/wiki/South_Philipsburg,_Pennsylvania"
" This page was last edited on 4 December 2020, at 20:04",1140 AM,https://en.wikipedia.org/wiki/AM_1140
" This page was last edited on 31 January 2021, at 09:15",WIFA (AM),https://en.wikipedia.org/wiki/WIFA_(AM)
" This page was last edited on 16 August 2021, at 18:31","Knoxville, Tennessee",https://en.wikipedia.org/wiki/Knoxville
" This page was last edited on 11 August 2021, at 16:56",Sign-on and sign-off,https://en.wikipedia.org/wiki/Sign-off
" This page was last edited on 3 January 2021, at 03:49",Interurban Press,https://en.wikipedia.org/wiki/Interurban_Press
" This page was last edited on 16 August 2021, at 03:50",New York Mets,https://en.wikipedia.org/wiki/Wayne_Randazzo
" This page was last edited on 31 July 2021, at 18:01",Classic country,https://en.wikipedia.org/wiki/Classic_Country
" This page was last edited on 29 March 2020, at 02:00","Snydertown, Centre County, Pennsylvania","https://en.wikipedia.org/wiki/Snydertown,_Centre_County,_Pennsylvania"
" This page was last edited on 13 August 2020, at 13:38",WBOL,https://en.wikipedia.org/wiki/WBOL
" This page was last edited on 9 August 2021, at 06:37",Simon & Schuster,https://en.wikipedia.org/wiki/Simon_%26_Schuster
" This page was last edited on 10 August 2021, at 07:48",Monterrey,"https://en.wikipedia.org/wiki/Monterrey,_Mexico"
" This page was last edited on 30 May 2021, at 15:03",WDEB (AM),https://en.wikipedia.org/wiki/WDEB_(AM)
" This page was last edited on 13 August 2020, at 14:49",WFGW,https://en.wikipedia.org/wiki/WFGW
" This page was last edited on 8 September 2020, at 10:52",WLHR-LP,https://en.wikipedia.org/wiki/WLHR-LP
